"","language","language_code","long","lat","spoken","source_author","notes","data_entry","total_data","retentions","loans","classification","world_atlas_link","ethno_link"
"229","Tanna, Southwest","nwi",-19.57,169.33,"Vanuatu","John Lynch","Complex Dialect Chain","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 199","Number of Retentions: Proto Malayo-Polynesian:65","Proto-Oceanic:74Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:South Vanuatu:Tanna","http://wals.info/languoid/lect/wals_code_tns","http://www.ethnologue.com/show_language.asp?code=nwi"
"230","Emae","mmw",NA,NA,NA,"POLLEX 2000 (Bruce Biggs & Ross Clark)","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 200","Number of Retentions: Proto Malayo-Polynesian:77","Proto-Oceanic:100Number of Loans: 5","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:Samoic-Outlier:Futunic",NA,"http://www.ethnologue.com/show_language.asp?code=mmw"
"231","Sakao (Port-Olry)","sku",-15.17,167.08,"Vanuatu","Jacques Guy","","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 273","Number of Retentions: Proto Malayo-Polynesian:75","Proto-Oceanic:91Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:North and Central Vanuatu:East Santo:North","http://wals.info/languoid/lect/wals_code_sak","http://www.ethnologue.com/show_language.asp?code=sku"
"232","Numbami (Siboma)","sij",NA,NA,NA,"Joel Bradshaw","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 238","Number of Retentions: Proto Malayo-Polynesian:67","Proto-Oceanic:80Number of Loans: 4","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:North New Guinea:Huon Gulf:Numbami",NA,"http://www.ethnologue.com/show_language.asp?code=sij"
"233","Modang","mxd",NA,NA,NA,"Antonio Guerreiro","","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 211","Number of Retentions: Proto Malayo-Polynesian:54","Number of Loans: 0","Austronesian:Malayo-Polynesian:North Borneo:North Sarawakan:Kayan-Kenyah:Kayanic:Modang",NA,"http://www.ethnologue.com/show_language.asp?code=mxd"
"234","Malay (Bahasa Indonesia)","ind",-2.5,140.67,"Indonesia","R. Blust, from Echols & Shadily","Echols, J M. & Shadily, H. (1989). An Indonesian-English Dictionary. Ithaca, NY: Cornell University Press, 3rd edition.
SA: ""Sanskrit"" stands for loanwords from any period between Classical Sanskrit and Middle Indian","Typed By: Debasish Roy  Checked By: Simon Greenhill + Sander Adelaar","Total Data: 237","Number of Retentions: Proto Malayo-Polynesian:126","Number of Loans: 17","Austronesian:Malayo-Polynesian:Malayo-Chamic:Malayic:Malay","http://wals.info/languoid/lect/wals_code_iir","http://www.ethnologue.com/show_language.asp?code=ind"
"235","Zabana (Kia)","kji",NA,NA,NA,"Blust, from Tryon & Hackman (1983)","Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 197","Number of Retentions: Proto Malayo-Polynesian:30","Proto-Oceanic:40Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Meso Melanesian:New Ireland:South New Ireland-Northwest Solomonic:Santa Isabel:West",NA,"http://www.ethnologue.com/show_language.asp?code=kji"
"236","Penrhyn","pnh",NA,NA,NA,"POLLEX 2000 (Bruce Biggs & Ross Clark)","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 213","Number of Retentions: Proto Malayo-Polynesian:79","Proto-Oceanic:105Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:East:Central:Tahitic",NA,"http://www.ethnologue.com/show_language.asp?code=pnh"
"237","Kédang","ksx",-8.25,123.75,"Indonesia","Blust from vocabulary of Lukas Apelaby, courtesy of Inyo Fernandes","Apelaby, L. (n.d.) Kédang vocabulary. Manuscript
(about 15 forms from Fox lists)
Additional numeral information from Margrethe Dirkzwager via Blust","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 215","Number of Retentions: Proto Malayo-Polynesian:80","Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Timor:Flores-Lembata","http://wals.info/languoid/lect/wals_code_ked","http://www.ethnologue.com/show_language.asp?code=ksx"
"238","Kayan (Uma Juman)","ree",NA,NA,NA,"Blust","forms in bracket's are interpolated from other dialects","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 213","Number of Retentions: Proto Malayo-Polynesian:90","Number of Loans: 4","Austronesian:Malayo-Polynesian:North Borneo:North Sarawakan:Kayan-Kenyah:Kayanic:Kayan Proper",NA,"http://www.ethnologue.com/show_language.asp?code=ree"
"239","Luangiua","ojv",-5.33,159.42,"Solomon Islands","POLLEX 2000 (Bruce Biggs & Ross Clark)","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 229","Number of Retentions: Proto Malayo-Polynesian:86","Proto-Oceanic:109Number of Loans: 3","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:Samoic-Outlier:Ellicean","http://wals.info/languoid/lect/wals_code_lga","http://www.ethnologue.com/show_language.asp?code=ojv"
"240","Mangareva","mrv",NA,NA,NA,"POLLEX 2000 (Bruce Biggs & Ross Clark)","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 371","Number of Retentions: Proto Malayo-Polynesian:118","Proto-Oceanic:156Number of Loans: 3","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:East:Central:Marquesic",NA,"http://www.ethnologue.com/show_language.asp?code=mrv"
"241","Bolaang Mongondow","mog",0.67,124,"Indonesia","Blust, from: Dunnebier (1765)","Dunnebier, W. (1765/1951). Bolaang Mongodowsch-Nederlandsch woordenboek. Met Nederlandsch-Bolaang Mongodowsch register. Den Haag: Nijhoff, 1951.","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 228","Number of Retentions: Proto Malayo-Polynesian:94","Number of Loans: 2","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:Gorontalo-Mongondow:Mongondowic","http://wals.info/languoid/lect/wals_code_mgd","http://www.ethnologue.com/show_language.asp?code=mog"
"242","Thao B96","ssf",23.88,120.92,"Taiwan","Blust","From Blust, R . (1996), Some remarks on the linguistic position of Thao. Oceanic Linguistics, 35(2):272-294","Andreea: replaced one instance (item #207) of /d/ with /ð/, following conventions used by Ferrell et. al.","Typed By: Simon Greenhill  Checked By: Simon Greenhill",NA,NA,"Total Data: 217
            Number of Retentions: Number of Loans: 19","http://wals.info/languoid/lect/wals_code_thw","http://www.ethnologue.com/show_language.asp?code=ssf"
"243","Ifira-Mele (Mele-Fila)","mxe",NA,NA,NA,"POLLEX 2000 (Bruce Biggs & Ross Clark)","AKA Mele-Fila in Pollex","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 173","Number of Retentions: Proto Malayo-Polynesian:76","Proto-Oceanic:106Number of Loans: 8","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:Samoic-Outlier:Futunic",NA,"http://www.ethnologue.com/show_language.asp?code=mxe"
"244","Sikaiana","sky",NA,NA,NA,"POLLEX 2000 (Bruce Biggs & Ross Clark)","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 239","Number of Retentions: Proto Malayo-Polynesian:88","Proto-Oceanic:117Number of Loans: 4","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:Samoic-Outlier:Ellicean",NA,"http://www.ethnologue.com/show_language.asp?code=sky"
"245","Takuu","nho",NA,NA,NA,"POLLEX 2000 (Bruce Biggs & Ross Clark)","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 190","Number of Retentions: Proto Malayo-Polynesian:74","Proto-Oceanic:97Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:Samoic-Outlier:Ellicean",NA,"http://www.ethnologue.com/show_language.asp?code=nho"
"246","Tokelau","tkl",-9,-172,"Tokelau","POLLEX 2000 (Bruce Biggs & Ross Clark)","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 183","Number of Retentions: Proto Malayo-Polynesian:76","Proto-Oceanic:98Number of Loans: 4","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:Samoic-Outlier:Tokelauan","http://wals.info/languoid/lect/wals_code_tke","http://www.ethnologue.com/show_language.asp?code=tkl"
"247","Tuamotu","pmt",-17,-144,"French Polynesia","POLLEX 2000 (Bruce Biggs & Ross Clark)","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 289","Number of Retentions: Proto Malayo-Polynesian:93","Proto-Oceanic:128Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:East:Central:Tahitic","http://wals.info/languoid/lect/wals_code_tua","http://www.ethnologue.com/show_language.asp?code=pmt"
"248","Niue","niu",-19.05,-170.12,"New Zealand","POLLEX 2000 (Bruce Biggs & Ross Clark)","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 282","Number of Retentions: Proto Malayo-Polynesian:99","Proto-Oceanic:142Number of Loans: 19","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Tongic","http://wals.info/languoid/lect/wals_code_niu","http://www.ethnologue.com/show_language.asp?code=niu"
"249","Iraralay","ivv",20.5,122,"Philippines","Tsuchida et al. (1987)","Tsuchida, S., Yamada, Y., & Moriguchi, T. (1987). Lists of Selected Words of Batanic Languages. Department of Linguistics, Faculty of Letters, University of Tokyo","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 329","Number of Retentions: Proto Malayo-Polynesian:108","Number of Loans: 0","Austronesian:Malayo-Polynesian:Philippine:Bashiic:Ivatan","http://wals.info/languoid/lect/wals_code_iva","http://www.ethnologue.com/show_language.asp?code=ivv"
"250","Itbayat","ivv",20.5,122,"Philippines","Tsuchida et al. (1987)","Tsuchida, S., Yamada, Y., & Moriguchi, T. (1987). Lists of Selected Words of Batanic Languages. Department of Linguistics, Faculty of Letters, University of Tokyo","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 393","Number of Retentions: Proto Malayo-Polynesian:127","Number of Loans: 2","Austronesian:Malayo-Polynesian:Philippine:Bashiic:Ivatan","http://wals.info/languoid/lect/wals_code_iva","http://www.ethnologue.com/show_language.asp?code=ivv"
"251","Imorod","ivv",20.5,122,"Philippines","Tsuchida et al. (1987)","Tsuchida, S., Yamada, Y., & Moriguchi, T. (1987). Lists of Selected Words of Batanic Languages. Department of Linguistics, Faculty of Letters, University of Tokyo","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 330","Number of Retentions: Proto Malayo-Polynesian:111","Number of Loans: 0","Austronesian:Malayo-Polynesian:Philippine:Bashiic:Ivatan","http://wals.info/languoid/lect/wals_code_iva","http://www.ethnologue.com/show_language.asp?code=ivv"
"252","Ivasay","ivv",20.5,122,"Philippines","Tsuchida et al. (1987)","Tsuchida, S., Yamada, Y., & Moriguchi, T. (1987). Lists of Selected Words of Batanic Languages. Department of Linguistics, Faculty of Letters, University of Tokyo","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 316","Number of Retentions: Proto Malayo-Polynesian:103","Number of Loans: 1","Austronesian:Malayo-Polynesian:Philippine:Bashiic:Ivatan","http://wals.info/languoid/lect/wals_code_iva","http://www.ethnologue.com/show_language.asp?code=ivv"
"253","Isamorong","ivv",20.5,122,"Philippines","Tsuchida et al. (1987)","Tsuchida, S., Yamada, Y., & Moriguchi, T. (1987). Lists of Selected Words of Batanic Languages. Department of Linguistics, Faculty of Letters, University of Tokyo","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 322","Number of Retentions: Proto Malayo-Polynesian:101","Number of Loans: 2","Austronesian:Malayo-Polynesian:Philippine:Bashiic:Ivatan","http://wals.info/languoid/lect/wals_code_iva","http://www.ethnologue.com/show_language.asp?code=ivv"
"254","Anuta","aud",NA,NA,NA,"POLLEX 2000 (Bruce Biggs & Ross Clark)","Additional Data taken from the Blust's ACD","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 243","Number of Retentions: Proto Malayo-Polynesian:84","Proto-Oceanic:118Number of Loans: 14","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:Samoic-Outlier:Futunic",NA,"http://www.ethnologue.com/show_language.asp?code=aud"
"255","Yami","tao",22,121.5,"Taiwan","Ferrell (1969)","Ferrell, R.(1969). Taiwan Aboriginal Groups: Problems in cultural and linguistic classification. Monograph 17: Institute of Ethnology, Academica Sinica","Some slightly different cognacy - see annotations column.","Typed By: Simon Greenhill  Checked By: Simon Greenhill",NA,NA,"Total Data: 239
            Number of Retentions: Proto Malayo-Polynesian:93
             
            Number of Loans: 2","http://wals.info/languoid/lect/wals_code_ymi","http://www.ethnologue.com/show_language.asp?code=tao"
"256","Atayal - Squliq F69","tay",24.5,121.33,"Taiwan","Ferrell (1969)","Ferrell, R.(1969). Taiwan Aboriginal Groups: Problems in cultural and linguistic classification. Monograph 17: Institute of Ethnology, Academica Sinica","Some slightly different cognacy - see annotations column.","Typed By: Simon Greenhill  Checked By: Simon Greenhill",NA,NA,"Total Data: 313
            Number of Retentions: Number of Loans: 0","http://wals.info/languoid/lect/wals_code_ata","http://www.ethnologue.com/show_language.asp?code=tay"
"257","Atayal - C'uli' F69 (Bandai)","tay",24.5,121.33,"Taiwan","Ferrell (1969)","Ferrell, R.(1969). Taiwan Aboriginal Groups: Problems in cultural and linguistic classification. Monograph 17: Institute of Ethnology, Academica Sinica","Some slightly different cognacy - see annotations column.","Typed By: Simon Greenhill  Checked By: Simon Greenhill",NA,NA,"Total Data: 199
            Number of Retentions: Number of Loans: 0","http://wals.info/languoid/lect/wals_code_ata","http://www.ethnologue.com/show_language.asp?code=tay"
"258","Favorlang F69","bzg",NA,NA,NA,"Ferrell (1969)","Ferrell, R. (1969). Taiwan Aboriginal Groups: Problems in cultural and linguistic classification. Monograph 17: Institute of Ethnology, Academica Sinica.","Some slightly different cognacy - see annotations column.","Typed By: Simon Greenhill  Checked By: Simon Greenhill",NA,NA,"Total Data: 233
            Number of Retentions: Number of Loans: 0",NA,"http://www.ethnologue.com/show_language.asp?code=bzg"
"259","Uvea, East","wls",-13.3,-176.2,"Wallis and Futuna","POLLEX 2000 (Bruce Biggs & Ross Clark)","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 293","Number of Retentions: Proto Malayo-Polynesian:98","Proto-Oceanic:134Number of Loans: 35","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:Samoic-Outlier:East Uvean-Niuafo'ou","http://wals.info/languoid/lect/wals_code_wll","http://www.ethnologue.com/show_language.asp?code=wls"
"260","Uvea, West","uve",NA,NA,NA,"POLLEX 2000 (Bruce Biggs & Ross Clark)","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 155","Number of Retentions: Proto Malayo-Polynesian:71","Proto-Oceanic:89Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:Samoic-Outlier:Futunic",NA,"http://www.ethnologue.com/show_language.asp?code=uve"
"261","Kavalan F69","ckv",NA,NA,NA,"Ferrell (1969)","Ferrell, R.(1969). Taiwan Aboriginal Groups: Problems in cultural and linguistic classification. Monograph 17: Institute of Ethnology, Academica Sinica","Some slightly different cognacy - see annotations column.","Typed By: Simon Greenhill  Checked By: Simon Greenhill",NA,NA,"Total Data: 456
            Number of Retentions: Number of Loans: 1",NA,"http://www.ethnologue.com/show_language.asp?code=ckv"
